Institution 1,Institution 2,Institution 3,Serial Number,Chinese Title,Pinyin Title,English Title,Alt Title,Year Range,Note,,
皇族宮廷類 Imperial Family and Royal Court,帝后門 Emperors and Empresses,帝 Emperor and Supreme Ruler,1, 皇帝,huang di ,Emperor,,,,,
皇族宮廷類 Imperial Family and Royal Court,帝后門 Emperors and Empresses,帝 Emperor and Supreme Ruler,2, 太上皇帝,tai shang huang di,Emperor Emeritus,alt. 太上皇 tai shang huang,,,,
皇族宮廷類 Imperial Family and Royal Court,帝后門 Emperors and Empresses,帝 Emperor and Supreme Ruler,3, 監國 ,jian guo,Regent,,,,,
皇族宮廷類 Imperial Family and Royal Court,帝后門 Emperors and Empresses,后 Empress,4, 皇后 ,huang hou,Empress,,,,,
皇族宮廷類 Imperial Family and Royal Court,帝后門 Emperors and Empresses,后 Empress,5, 太皇太后 ,tai huang tai hou,Grand Empress Dowager,,,,,
皇族宮廷類 Imperial Family and Royal Court,帝后門 Emperors and Empresses,后 Empress,6, 皇太后 ,huang tai hou,Empress Dowager,alt. 太后 tai hou,,,,
皇族宮廷類 Imperial Family and Royal Court,帝后門 Emperors and Empresses,內命婦 Imperial Harem,7, 太皇太妃,tai huang tai fei,Grand Consort Dowager,,,,,
皇族宮廷類 Imperial Family and Royal Court,帝后門 Emperors and Empresses,內命婦 Imperial Harem,8, 皇太妃,huang tai fei,Consort Dowager,alt. 太妃 tai fei,,,,
皇族宮廷類 Imperial Family and Royal Court,帝后門 Emperors and Empresses,內命婦 Imperial Harem,9, 皇貴妃,huang gui fei,Imperial Honored Consort,,,,,
皇族宮廷類 Imperial Family and Royal Court,帝后門 Emperors and Empresses,內命婦 Imperial Harem,10, 貴妃 ,gui fei,Honored Consort,,,,,
皇族宮廷類 Imperial Family and Royal Court,帝后門 Emperors and Empresses,內命婦 Imperial Harem,11, 皇妃 ,huang fei,Imperial Consort,,,,,
皇族宮廷類 Imperial Family and Royal Court,帝后門 Emperors and Empresses,內命婦 Imperial Harem,12, 妃 ,fei,Consort,,,,,
皇族宮廷類 Imperial Family and Royal Court,帝后門 Emperors and Empresses,內命婦 Imperial Harem,13, 嬪,pin,Concubine,,,,,
皇族宮廷類 Imperial Family and Royal Court,帝后門 Emperors and Empresses,內命婦 Imperial Harem,14, 昭儀 ,zhao yi,Lady of Bright Deportment,,,,,
皇族宮廷類 Imperial Family and Royal Court,帝后門 Emperors and Empresses,內命婦 Imperial Harem,15, 婕妤 ,jie yu,Lady of Handsome Fairness,,,,,
皇族宮廷類 Imperial Family and Royal Court,帝后門 Emperors and Empresses,內命婦 Imperial Harem,16, 美人 ,mei ren,Beautiful Lady,,,,,
皇族宮廷類 Imperial Family and Royal Court,帝后門 Emperors and Empresses,內命婦 Imperial Harem,17, 才人 ,cai ren,Talented Lady,,,,,
皇族宮廷類 Imperial Family and Royal Court,帝后門 Emperors and Empresses,內命婦 Imperial Harem,18, 貴人 ,gui ren ,Worthy Lady,,,,,
皇族宮廷類 Imperial Family and Royal Court,帝后門 Emperors and Empresses,內命婦 Imperial Harem,19, 選侍 ,xuan shi,Chosen Attendant,,,,,
皇族宮廷類 Imperial Family and Royal Court,帝后門 Emperors and Empresses,內命婦 Imperial Harem,20, 淑女 ,shu nv,Lady,,,,,
皇族宮廷類 Imperial Family and Royal Court,皇太子與東宮門 Heir Apparent and Eastern Palace,,21, 皇太子 ,huang tai zi,Heir Apparent,,,,,
皇族宮廷類 Imperial Family and Royal Court,皇太子與東宮門 Heir Apparent and Eastern Palace,,22, 皇太子妃 ,huang tai zi fei,Consort of the Heir Apparent,,,,,
皇族宮廷類 Imperial Family and Royal Court,皇太子與東宮門 Heir Apparent and Eastern Palace,,23, 皇太子嬪 ,huang tai zi pin,Concubine of the Heir Apparent,,,,,
皇族宮廷類 Imperial Family and Royal Court,皇太子與東宮門 Heir Apparent and Eastern Palace,,24, 皇太孫 ,huang tai sun,Imperial Grandson-heir,,,,,
皇族宮廷類 Imperial Family and Royal Court,皇太子與東宮門 Heir Apparent and Eastern Palace,,25, 皇太孫妃 ,huang tai sun fei,Consort of the Imperial Grandson-heir,,,,,
皇族宮廷類 Imperial Family and Royal Court,皇太子與東宮門 Heir Apparent and Eastern Palace,,26, 皇太孫嬪 ,huang tai sun pin,Concubine of the Imperial Grandson-heir,,,,,
皇族宮廷類 Imperial Family and Royal Court,皇太子與東宮門 Heir Apparent and Eastern Palace,三師三少 Three Preceptors and Three Juniors,27, 太子三師 ,tai zi san shi,Three Preceptors of the Heir Apparent,alt. 東宮三師 dong gong san shi,,,,
皇族宮廷類 Imperial Family and Royal Court,皇太子與東宮門 Heir Apparent and Eastern Palace,三師三少 Three Preceptors and Three Juniors,28, 太子太師 ,tai zi tai shi,Grand Preceptor of the Heir Apparent,,,,,
皇族宮廷類 Imperial Family and Royal Court,皇太子與東宮門 Heir Apparent and Eastern Palace,三師三少 Three Preceptors and Three Juniors,29, 太子太傅,tai zi tai fu,Grand Mentor of the Heir Apparent,,,,,
皇族宮廷類 Imperial Family and Royal Court,皇太子與東宮門 Heir Apparent and Eastern Palace,三師三少 Three Preceptors and Three Juniors,30, 太子太保 ,tai zi tai bao,Grand Guardian of the Heir Apparent,,,,,
皇族宮廷類 Imperial Family and Royal Court,皇太子與東宮門 Heir Apparent and Eastern Palace,三師三少 Three Preceptors and Three Juniors,31, 太子三少 ,tai zi san shao,Three Junior Counselors of the Heir Apparent,alt. 東宮三少 dong gong san shao,,,,
皇族宮廷類 Imperial Family and Royal Court,皇太子與東宮門 Heir Apparent and Eastern Palace,三師三少 Three Preceptors and Three Juniors,32, 太子少師 ,tai zi shao shi,Junior Preceptor of the Heir Apparent,,,,,
